Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
657--Special Yarns; Special Textile Fabrics; Etc.,-64992382,-86924826,-119537596,-111781497,-92721859,-99745666,-83306148,-48629637,-86701215,-92957970,-92982848,-152263921,-179695675,-153236138,-179224249
656--Tulles; Lace; Embroidery; Ribbons; Trimmings; Etc,-10164071,-6525656,-7752806,-7707354,-8799352,-7123747,-7948956,-4167292,-5262142,-7999459,-7689450,-4264272,-8096735,-9343081,-14480445
655--Knitted Or Crocheted Fabrics,-7525240,-15202966,-13727598,-6939183,3839232,-2487558,2016545,263491,-6706546,-10432974,-8469832,-13006615,-15395590,-16213514,-14735881
654--Woven Fabrics Of Textile Material; Not Cotton Or,-18553106,-10772166,-11343964,-8404028,-6584,-4547683,-4623678,-2634482,-3822015,-5229197,-8960354,-7763607,-8455856,-6323051,-4819304
653--Woven Fabrics; Manmade Textile Material,-7007717,-12674997,-15473166,-16966797,-11599312,-10101091,-9496738,-10767100,-13466492,-11889994,-15130338,-14144219,-18594147,-17255380,-17957507
652--Cotton Fabrics; Woven,-10730919,-8646829,-8770546,-11114328,-8670216,-8811165,-7721982,-3820794,-4642314,-5556098,-6317441,-4636229,-6005433,-9036541,-9342511
651--Textile Yarn,-54943788,-61956688,-55276327,-70211953,-64132639,-58922784,-47027725,-31114274,-28186910,-57402053,-63448296,-85276435,-78952545,-76849836,-62879397
642--Paper & Paperboard; Cut To Size Or Shape; Article,-69441868,-94748825,-100102733,-99311656,-101939150,-120062774,-101515409,-86903691,-73284880,-81828031,-85597293,-87734403,-101465721,-89557619,-82456702
641--Paper And Paperboard,-351184733,-392709355,-503194429,-528797495,-617691514,-556884677,-586165029,-410325536,-467596116,-512660912,-521985787,-437077444,-409889536,-521146582,-505710563
635--Wood Manufactures,-12425146,-17081961,-13652540,-20428479,-31163073,-30647979,-23731986,-13258824,-10117884,-14287383,-13772836,-20248616,-17000599,-15008138,-19086379
634--Veneers; Plywood and Particle Board,-116474712,-58851415,-175369659,-180097275,-114477751,-79713447,-19680734,-40429487,-20681923,-4526045,-25978686,-42022449,-62416881,-77770281,-100163906
633--Cork Manufactures,-715834,-375505,578715,3331077,4515427,5428245,6598582,2353324,2228344,1731722,-156313,-77220,-129194,-49103,-13186
629--Articles Of Rubber,-100933569,-106123259,-141234739,-172352686,-166296364,-194140883,-178139727,-143847224,-167105563,-215731870,-229452642,-226618332,-258583460,-240588133,-226363727
625--Rubber Tires and Accessories,-131252612,-120990333,-177296360,-213725011,-205788931,-248340631,-190845267,-186045399,-214666325,-331467521,-390824235,-427928692,-421677281,-426388159,-274033490
621--Materials Of Rubber,-43460529,-50775831,-65334865,-81935850,-87973938,-87730990,-102810775,-92017081,-114017977,-147036625,-152467649,-169866801,-158597788,-157326721,-150162436
613--Furskins; Tanned Or Dressed,813585,1233049,3426030,4056414,4261928,1403996,1244515,280599,349060,1171048,724817,560692,13073,-16884,172885
612--Manufactures Of Leather,-16112265,-20970382,-21732442,-22382936,-23553422,-30819588,-31979464,-23871265,-22997008,-22697813,-18143125,-16634510,-16271529,-9406917,-10204748
611--Leather,-29964149,-23087073,-21504896,-18181566,-16643403,-18579139,-18406628,-7396815,-9363111,-6444175,-9475105,-9591091,-9596798,-10336483,-13126926
599--RESIDUAL PRODUCTS OF THE CHEM/ALLIES IND.; WASTES,32066,24316,-400475,502110,517139,1697999,-705039,-51161,-273062,-1439608,-767382,-148475,100565,401792,-466186
598--Miscellaneous Chemical Products,-57170110,109517094,251326859,256037809,240984019,353638741,286908197,226384376,221466421,303585932,187786110,89804609,133571545,360552116,284155878
597--Additives For Mineral Oils,-25650540,-36043627,-40859443,-44144701,-42735866,-47017347,-45811574,-72010432,-70529723,-71547001,-94157213,-90277164,-73145746,-67976788,-77520850
593--Explosives And Pyrotechnic Products,722655,-11767703,-22769965,-22349712,-24500990,-29459239,-6812285,-4090505,-3790147,2158447,13856178,-577977,-24106015,3106060,-17958412
592--Starches; Inulin & Wheat Gluten; Albumin Substitu,-51002172,-74081112,-80249005,-64866451,-59560371,-69918873,-57952248,-46255325,-32432668,-70784759,-151073363,-112112038,-133320530,-113528801,-172126489
591--Insecticides; Disinfectants,-57921722,-90492635,-105967867,-66322117,-44581180,-58979053,-47460248,-28718778,-31070554,-56697060,-78031004,-95862053,-52239600,-135834124,-141035488
583--Monofilaments Of Plastics,-184883,-1012868,-1504966,-2732908,-4484177,-4448321,35847,-1124686,-4333075,-9315390,-11046581,-9051305,-5936912,-8330880,-7979150
582--Plates; Sheets; Film; Foil & Strip Of Plastics,-101023490,-130909533,-147294742,-141136918,-176229393,-129420071,-43880412,772690,-3243416,-48863941,-96256173,-129688788,-156252577,-104511922,-68925500
581--Tubes; Pipes And Hoses Of Plastics,-28121285,-33997363,-43809213,-46903247,-40573699,-42388431,-46597699,-37424389,-38012795,-68373723,-90149762,-110069884,-122122033,-108775563,-107609086
579--Waste; Parings And Scrap; Of Plastics,-21926425,-17801124,-16989886,-17111858,-43513159,-15667802,-10853612,-16459772,-16591840,-6818966,-10861010,-12154446,-11245880,-5062747,-4133732
575--Plastics,-272299817,-292875209,-317448916,-334242130,-338879981,-341354958,-394851649,-308132621,-408757507,-430395982,-579641099,-571868922,-739046498,-703500846,-678812830
