Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
263--Cotton Textile Fibers,17098349,21647069,10160189,14824507,16191530,15696823,14143271,10506022,12994323,42290332,23040850,19389680,14750148,16668840,13349116
848--Apparel & Accessories Except Textile; Headgear,10143465,9803847,11509086,17039796,16609690,26796384,23291537,22302531,18585180,18347058,17067253,18624854,15651703,13287057,12350183
001--Live Animals,3665553,4971151,3571395,7360413,7010731,8072181,11053747,7447076,10122697,6079330,6135359,4606058,5928731,11620613,12125420
712--Steam Turbines & Other Vapor Turbines,24194035,10073163,10699953,15351115,14065596,9419698,21177393,24640949,9241508,11604506,28563883,5623285,3616482,8473858,12049856
763--Sound Recorders and TV Recorders,31943495,35357307,33655512,37440804,37407493,23312882,19028858,19556805,17992322,15438348,16768312,15284835,14337676,14865074,11555154
291--Crude Animal Materials,7466724,9724634,12690947,10057205,6730812,10311920,14819837,14040921,10361151,12659421,13623825,11353136,13729287,11827511,11206501
846--Clothing Accessories,5085209,5253582,4421199,4069938,5601860,4909987,8070203,6379504,7035029,11478618,13413685,19008267,18637235,19087523,10872608
073--Chocolate & Other Food Preparations Containing Co,1632995,898597,375889,509805,1279569,2171317,935925,858727,1978630,1268967,966229,1767097,1913346,3116054,9522682
335--Residual Petroleum Products,13507776,15950471,12623125,13955786,16299645,11409301,47073813,23243007,36868719,65163907,38610837,33673283,21312015,19893267,9147837
844--Women's Or Girls' Coats; Capes; Knit,2651587,2382827,1952172,3351531,7010667,11040752,18803871,13258698,12747265,12724056,9134477,11916810,9136075,7188616,8456119
042--Rice,12262691,12906881,16846870,16028621,13895459,9441935,8990134,3647817,5001303,8206599,5533527,5548602,7491368,6598547,8072550
037--Fish; Crustaceans and Molluscs,1579011,2908114,2694299,5538104,3604319,4629097,8876646,4229098,3905580,3988719,4779988,2799655,12118926,6987387,7748112
583--Monofilaments Of Plastics,3252842,3678258,3436729,3800088,5069056,5620564,10889670,6849996,8163091,6518606,5909511,6077186,8689850,6786073,7494430
791--Railway Vehicles & Associated Equipment,25254084,46439945,14384004,29069258,10093875,16397500,18407649,21350848,21974050,10467856,16488199,56347335,11115726,38902537,7056888
678--Iron And Steel Wire,4880384,6939386,6171007,9277303,10875385,17533495,19564627,9589800,12546550,18172672,16266680,11226661,16363273,12245314,6921120
056--Vegetables; Roots And Tubers; Prepared Or Preserv,8750825,9311017,6094605,6364894,7106342,15773931,11937560,10014559,9914008,7271319,8385382,7875634,7379002,6413640,6868431
267--Manmade Fibers For Spinning,20880745,17028763,16790893,23133991,30747892,23495573,3693019,1095693,6560342,7502419,8273198,8610888,6873027,7820391,6792264
